119.1858 	EXP 	grating: autoDraw = False
119.1858 	EXP 	grating: ori = -3.0
119.1858 	EXP 	fixation: autoDraw = True
120.1891 	EXP 	fixation: autoDraw = False
120.1891 	EXP 	grating: autoDraw = True
120.4898 	EXP 	grating: autoDraw = False
120.8108 	EXP 	New trial (rep=54, index=0): None
120.8134 	DATA 	Keypress: down
120.8239 	EXP 	fixation: autoDraw = False
120.8239 	EXP 	grating: autoDraw = False
120.8239 	EXP 	grating: ori = 0.0
120.8239 	EXP 	fixation: autoDraw = True
121.8096 	EXP 	grating: autoDraw = True
121.8264 	EXP 	fixation: autoDraw = False
122.1102 	EXP 	grating: autoDraw = False
122.7656 	EXP 	New trial (rep=55, index=0): None
122.7682 	DATA 	Keypress: up
122.7793 	EXP 	fixation: autoDraw = False
122.7793 	EXP 	grating: autoDraw = False
122.7793 	EXP 	grating: ori = 0.0
122.7793 	EXP 	fixation: autoDraw = True
123.7651 	EXP 	grating: autoDraw = True
123.7819 	EXP 	fixation: autoDraw = False
124.0660 	EXP 	grating: autoDraw = False
124.7878 	EXP 	New trial (rep=56, index=0): None
124.7905 	DATA 	Keypress: up
124.8010 	EXP 	fixation: autoDraw = False
124.8010 	EXP 	grating: autoDraw = False
124.8010 	EXP 	grating: ori = 0.0
124.8010 	EXP 	fixation: autoDraw = True
125.7868 	EXP 	grating: autoDraw = True
125.8037 	EXP 	fixation: autoDraw = False
126.0880 	EXP 	grating: autoDraw = False
126.6753 	EXP 	New trial (rep=57, index=0): None
126.6780 	DATA 	Keypress: down
126.6893 	EXP 	fixation: autoDraw = False
126.6893 	EXP 	grating: autoDraw = False
126.6893 	EXP 	grating: ori = 0.0
126.6893 	EXP 	fixation: autoDraw = True
127.6757 	EXP 	grating: autoDraw = True
127.6923 	EXP 	fixation: autoDraw = False
127.9764 	EXP 	grating: autoDraw = False
128.3303 	EXP 	New trial (rep=58, index=0): None
128.3329 	DATA 	Keypress: down
128.3440 	EXP 	fixation: autoDraw = False
128.3440 	EXP 	grating: autoDraw = False
128.3440 	EXP 	grating: ori = 0.0
128.3440 	EXP 	fixation: autoDraw = True
129.3299 	EXP 	grating: autoDraw = True
129.3462 	EXP 	fixation: autoDraw = False
129.6307 	EXP 	grating: autoDraw = False
129.8670 	EXP 	New trial (rep=59, index=0): None
129.8697 	DATA 	Keypress: up
129.8815 	EXP 	fixation: autoDraw = False
129.8815 	EXP 	grating: autoDraw = False
129.8815 	EXP 	grating: ori = 0.0
129.8815 	EXP 	fixation: autoDraw = True
130.8674 	EXP 	grating: autoDraw = True
130.8840 	EXP 	fixation: autoDraw = False
131.1685 	EXP 	grating: autoDraw = False
131.6400 	EXP 	New trial (rep=60, index=0): None
131.6428 	DATA 	Keypress: down
131.6527 	EXP 	fixation: autoDraw = False
131.6527 	EXP 	grating: autoDraw = False
131.6527 	EXP 	grating: ori = -4.0
131.6527 	EXP 	fixation: autoDraw = True
132.6389 	EXP 	grating: autoDraw = True
132.6554 	EXP 	fixation: autoDraw = False
132.9395 	EXP 	grating: autoDraw = False
133.2936 	EXP 	New trial (rep=61, index=0): None
133.2962 	DATA 	Keypress: down
133.3069 	EXP 	fixation: autoDraw = False
133.3069 	EXP 	grating: autoDraw = False
133.3069 	EXP 	grating: ori = -2.0
133.3069 	EXP 	fixation: autoDraw = True
134.2930 	EXP 	grating: autoDraw = True
134.3099 	EXP 	fixation: autoDraw = False
134.5941 	EXP 	grating: autoDraw = False
134.9149 	EXP 	New trial (rep=62, index=0): None
134.9178 	DATA 	Keypress: down
134.9278 	EXP 	fixation: autoDraw = False
134.9278 	EXP 	grating: autoDraw = False
134.9278 	EXP 	grating: ori = 0.0
134.9278 	EXP 	fixation: autoDraw = True
135.9141 	EXP 	grating: autoDraw = True
135.9309 	EXP 	fixation: autoDraw = False
136.2151 	EXP 	grating: autoDraw = False
136.5690 	EXP 	New trial (rep=63, index=0): None
136.5717 	DATA 	Keypress: up
136.5825 	EXP 	fixation: autoDraw = False
